"","WRB","count"
"Calcaric Leptosol","Calcaric Leptosol",14
"Calcaric Leptosol Aridic","Calcaric Leptosol Aridic",5
"Calcaric Leptosol Humic","Calcaric Leptosol Humic",1
"Calcaric Luvisol","Calcaric Luvisol",1
"Calcaric Luvisol Cromic","Calcaric Luvisol Cromic",1
"Calcaric Luvisol Hiposodic","Calcaric Luvisol Hiposodic",1
"Calcaric Luvisol Siltic","Calcaric Luvisol Siltic",1
"Calcaric Phaeozem","Calcaric Phaeozem",5
"Calcaric Phaeozem Epiesqueletic","Calcaric Phaeozem Epiesqueletic",1
"Calcaric Phaeozem Hiposodic","Calcaric Phaeozem Hiposodic",1
"Calcaric Phaeozem Paquic","Calcaric Phaeozem Paquic",1
"Calcaric Phaeozem Siltic","Calcaric Phaeozem Siltic",2
"Calcaric Planosol Alcalic","Calcaric Planosol Alcalic",1
"Calcaric Regosol","Calcaric Regosol",8
"Calcaric Regosol Alcalic","Calcaric Regosol Alcalic",1
"Calcaric Regosol Aridic","Calcaric Regosol Aridic",3
"Calcaric Regosol Endoesqueletic","Calcaric Regosol Endoesqueletic",1
"Calcaric Regosol Epiesqueletic","Calcaric Regosol Epiesqueletic",2
"Calcaric Regosol Esqueletic","Calcaric Regosol Esqueletic",4
"Calcaric Regosol Hiposodic","Calcaric Regosol Hiposodic",5
"Calcaric Vertisol","Calcaric Vertisol",1
"Calcaric Vertisol Aridic","Calcaric Vertisol Aridic",1
"Calcaric Vertisol Cromic","Calcaric Vertisol Cromic",1
"Calcaric Vertisol Hipersodic","Calcaric Vertisol Hipersodic",1
"Calcaric Vertisol Hiposalic","Calcaric Vertisol Hiposalic",2
"Calcaric Vertisol Hiposodic","Calcaric Vertisol Hiposodic",5
"Calcaric Vertisol Mazic","Calcaric Vertisol Mazic",5
"Calcaric Vertisol Pelic","Calcaric Vertisol Pelic",3
"Calcaric Vertisol Sodic","Calcaric Vertisol Sodic",1
"Calcaric,Anthraquic Gleysol","Calcaric,Anthraquic Gleysol",1
"Calcaric,Arenic Fluvisol","Calcaric,Arenic Fluvisol",3
"Calcaric,Endoleptic Regosol","Calcaric,Endoleptic Regosol",1
"Calcaric,Endosalic Cambisol","Calcaric,Endosalic Cambisol",1
"Calcaric,Epileptic Cambisol","Calcaric,Epileptic Cambisol",1
"Calcaric,Epileptic Regosol","Calcaric,Epileptic Regosol",1
"Calcaric,Fluvic Cambisol Siltic","Calcaric,Fluvic Cambisol Siltic",1
"Calcaric,Gleyic Cambisol","Calcaric,Gleyic Cambisol",2
"Calcaric,Haplic Cambisol Calcaric","Calcaric,Haplic Cambisol Calcaric",1
"Calcaric,Haplic Cambisol Calcaric,Ruptic,Cp","Calcaric,Haplic Cambisol Calcaric,Ruptic,Cp",1
"Calcaric,Haplic Fluvisol Calcaric,Arenic","Calcaric,Haplic Fluvisol Calcaric,Arenic",1
"Calcaric,Haplic,Chromi Cambisol Calcaric,Siltic,Chromic","Calcaric,Haplic,Chromi Cambisol Calcaric,Siltic,Chromic",1
"Calcaric,Haplic,Sodi Fluvisol Calcaric,Sodic","Calcaric,Haplic,Sodi Fluvisol Calcaric,Sodic",1
"Calcaric,Humic Gleysol","Calcaric,Humic Gleysol",2
"Calcaric,Humic Leptosol","Calcaric,Humic Leptosol",1
"Calcaric,Humic Regosol","Calcaric,Humic Regosol",1
"Calcaric,Hypoluvic Arenosol","Calcaric,Hypoluvic Arenosol",1
"Calcaric,Hyposodic Cambisol","Calcaric,Hyposodic Cambisol",1
"Calcaric,Hyposodic Luvisol","Calcaric,Hyposodic Luvisol",1
"Calcaric,Leptic Cambisol","Calcaric,Leptic Cambisol",2
"Calcaric,Leptic Regosol","Calcaric,Leptic Regosol",1
"Calcaric,Luvic Phaeozem","Calcaric,Luvic Phaeozem",2
"Calcaric,Paraleptic Cambisol","Calcaric,Paraleptic Cambisol",1
"Calcaric,Paraleptic Phaeozem","Calcaric,Paraleptic Phaeozem",2
"Calcaric,Paraleptic Regosol","Calcaric,Paraleptic Regosol",1
"Calcaric,Salic Fluvisol","Calcaric,Salic Fluvisol",1
"Calcaric,Vertic Cambisol","Calcaric,Vertic Cambisol",3
"Calcaric,Vertic Fluvisol","Calcaric,Vertic Fluvisol",1
"Calcic Chernozem","Calcic Chernozem",2
"Calcic Chernozem Endoesqueletic","Calcic Chernozem Endoesqueletic",1
"Calcic Chernozem Esqueletic","Calcic Chernozem Esqueletic",1
"Calcic Chernozem Hiposodic","Calcic Chernozem Hiposodic",3
"Calcic Chernozem Humic","Calcic Chernozem Humic",3
"Calcic Chernozem Luvic","Calcic Chernozem Luvic",29
"Calcic Gypsisol","Calcic Gypsisol",1
"Calcic Gypsisol Aridic","Calcic Gypsisol Aridic",1
"Calcic Gypsisol Luvic","Calcic Gypsisol Luvic",1
"Calcic Gypsisol Sodic","Calcic Gypsisol Sodic",1
"calcic horizon,calcic horizon Vertisol Humic","calcic horizon,calcic horizon Vertisol Humic",1
"calcic horizon,calcic horizon,Albi Solonetz Albic,Abruptic","calcic horizon,calcic horizon,Albi Solonetz Albic,Abruptic",1
"calcic horizon,calcic horizon,Pelli Vertisol Pellic","calcic horizon,calcic horizon,Pelli Vertisol Pellic",1
"calcic horizon,Hyposodi Kastanozem Anthric","calcic horizon,Hyposodi Kastanozem Anthric",1
"calcic horizon,Luvi Kastanozem","calcic horizon,Luvi Kastanozem",1
"calcic horizon,Mazic,Calcic,Mazi Vertisol Hyposodic,Hyposodic","calcic horizon,Mazic,Calcic,Mazi Vertisol Hyposodic,Hyposodic",1
"calcic horizon,Pelli Vertisol Grumic","calcic horizon,Pelli Vertisol Grumic",1
"calcic horizon,Silti Chernozem Vermic","calcic horizon,Silti Chernozem Vermic",1
"calcic horizon,Silti Kastanozem Anthric","calcic horizon,Silti Kastanozem Anthric",1
"calcic horizon,Vermi Chernozem","calcic horizon,Vermi Chernozem",1
